period,adoption,employed_M,on_ui_M,exhausted_M,reabsorbed_M,exited_M,induced_M,retired_M,population_M,max_cell_resid_M,employment_drop_pct,revenue_lost_B,revenue_lost_pct,transfers_added_B,corp_offset_B,compute_pool_tax_B,saved_bill_B,automation_spend_B,net_saving_B,retained_profit_B,price_reduction_B,survivor_gains_B,offshore_leak_B,fed_deficit_B,fed_debt_B,price_level,productivity_index,fed_deficit_real_B,fed_debt_real_B,fed_deficit_pct_gdp,fed_debt_pct_gdp,state_gap_pct_gdp,headline_deficit,survivor_gain_fed_B,survivor_gain_state_B,survivor_wage_cost_B,survivor_overflow_profit_B,survivor_overflow_price_B,survivor_overflow_corp_tax_B,survivor_market_frac,survivor_slack_prev,W_survivor,W_survivor_mech,W_reab,refuge_capacity,inc_fed_loss_B,payroll_fed_loss_B,transfer_fed_B,ui_outlay_fed_B,ui_tax_fed_B,ubi_outlay_B,ubi_recapture_B,automation_tax_B,ssdi_outlay_B,income_surcharge_fed_B,corp_surcharge_fed_B,excise_surcharge_fed_B,income_surcharge_state_B,corp_surcharge_state_B,cons_surcharge_state_B,state_net_total_B,inc_state_loss_B,cons_state_loss_B,transfer_state_B,state_gap_B,ubi_required_rate,state_rate_hike_B,state_spending_cut_B,state_close_residual_B,n_states_capped,state_balanced,induced_pending_M,standing_withdrawal_B,fed_revenue_B,fed_deficit_abs_B,fed_deficit_abs_pct_gdp,state_fiscal_position_B
0,0.05,149.8707525746089,4.083047425391095,0.0,0.0,0.0,0.0,0.0,153.9538,0.0,2.6521251345475783,108.609631341087,3.007427014016441,64.86279575398203,61.867217031988964,3.1747531358824164,423.3004181176555,63.495062717648324,359.8053554000072,287.8442843200058,53.970803310001074,17.990267770000347,0.0,82.21282529772681,82.21282529772681,0.9991016771714751,1.0253151248040262,82.28674535956831,82.28674535956831,0.27392611303902736,0.27392611303902736,0.0690478056138175,82.21282529772681,4.782770005368446,0.60442021092959,17.990267770001353,0.0,0.0,0.0,-0.0,0.0,1.0013253537971019,1.0013253537971019,1.0,0.991950624125301,48.90133465203009,47.781954131667035,19.876270179011275,39.42000723139804,3.9420007231398047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.723161867052113,11.926342557389859,3.834721177019127,5.566518343572716,20.723161867052113,0.0,10.361580933526056,10.361580933526056,0.0,0,True,0.8663847754291812,173.55450059065777,4959.883452112683,1915.2128252977268,6.381325577565403,3504.638419066474
1,0.1,144.51051434919535,4.493853449984357,3.584476332473444,0.20250907209749502,0.20415237126955477,0.8663847754291812,0.09190964955060114,153.9538,1.164153218269348e-16,6.133843822500406,239.05357161694423,6.619451334109618,106.61144288077277,128.03512479596563,6.558612139837506,874.4816186450008,131.1722427967501,743.3093758482507,594.6475006786006,111.4964063772376,37.165468792412504,0.0,205.97327400973506,291.474612319371,0.9981917719872425,1.0522976363058347,206.34639534212423,292.00261963599536,0.6314127394921362,0.8935177844883114,0.16682739413809083,205.97327400973506,-36.08314241993256,-4.561897062494107,37.16546879241365,0.0,0.0,0.0,-0.013260625672737891,0.026521251345475783,0.9895885643954383,1.0028491900681762,1.0,0.9777117961983008,107.39537127959589,105.30703065808275,49.20588665900212,43.22315249563653,4.322315249563654,0.0,0.0,0.0,3.674742682851986,0.0,0.0,0.0,0.0,0.0,0.0,54.4207970728836,26.35116967926557,9.325326604989835,14.182403726134103,54.4207970728836,0.0,27.2103985364418,27.2103985364418,0.0,0,True,1.918376021936792,557.8442548368618,4872.930507827756,2038.9732740097352,6.250489083515213,3487.7896014635585
2,0.15,137.68747885268095,4.904659474577617,7.097511892809447,0.6397767189411337,0.6513880991639039,2.6795700326976144,0.29341492912932604,153.9538,1.164153218269348e-16,10.565715914332118,394.6564369525597,10.928132386520682,156.8010845308727,198.50372329192993,10.151577011865271,1353.543601582036,203.0315402373054,1150.5120613447305,920.4096490757844,172.57680920170955,57.52560306723648,0.0,364.04360777415826,667.1772045863041,0.99727536245004,1.080947534505426,365.03820457350923,668.9999870720031,1.025847696184146,1.8800555308638565,0.26671540550425665,364.04360777415826,-82.52142309945764,-10.438200437405863,57.52560306723548,0.0,0.0,0.0,-0.029730776439566398,0.059461552879132795,0.9749113156901035,1.00464209212967,1.0,0.9572835162189998,176.96784960764788,174.06740061942364,85.0935809825865,47.02629775987502,4.702629775987502,0.0,0.0,0.0,11.724985784950272,0.0,0.0,0.0,0.0,0.0,0.0,94.64956526186693,43.62118672548819,15.908972310561666,24.681205788411184,94.64956526186693,0.0,47.32478263093346,47.32478263093346,0.0,0,True,2.3468899940321912,1006.9022268377838,4762.601256753253,2197.0436077741583,6.191104788878574,3467.6752173690666
3,0.2,130.02512335947787,5.315465499170879,10.556899039611547,1.3425061705256895,1.385475169168138,4.7037927109541355,0.6245380510917231,153.9538,1.164153218269348e-16,15.542764543987953,559.9584929067177,15.505386377814974,210.41934495677882,273.2730125198819,13.953647751965706,1860.4863669287608,279.0729550393141,1581.4134118894467,1265.1307295115573,237.212011783417,79.07067059447228,0.0,538.5835140047717,1232.4478067745279,0.9963570766865548,1.1112648194028,540.552706059823,1236.9539351023702,1.3940032875945274,3.18991623352425,0.3564767340277125,538.5835140047717,-133.50143164671178,-16.888633945429966,79.07067059447121,0.0,0.0,0.0,-0.04989291642142085,0.0997858328428417,0.956879990737691,1.0067729071591118,1.0,0.9306657841873975,250.79845229129504,247.15319813937438,123.67204043250946,50.82944302411354,5.082944302411354,0.0,0.0,0.0,24.93855304502648,0.0,0.0,0.0,0.0,0.0,0.0,137.7274313354665,62.006842476048234,22.914093413832518,35.917861500155794,137.7274313354665,0.0,68.86371566773325,68.86371566773325,0.0,0,True,2.7078241583516025,1484.6976779854506,4643.656522496878,2371.5835140047716,6.138314911916043,3446.1362843322668
4,0.25,121.59102767736215,5.726271523764139,13.981649157765506,2.2999824466451537,2.414283031654966,6.851301283938109,1.0892848788699798,153.9538,1.164153218269348e-16,21.02109355055728,733.6043668828432,20.31368271231083,267.0067840151767,352.34299247982153,17.96482436013881,2395.3099146851746,359.2964872027762,2036.0134274823986,1628.8107419859189,305.4020141223598,101.80067137411986,0.0,719.0173954943119,2000.763114539821,0.9954410818175234,1.1432494909979565,722.310349279031,2009.9262036551002,1.7081274553524468,4.753095584359859,0.4327630953355199,719.0173954943119,-179.85876736830585,-22.74552583547089,101.80067137411953,0.0,0.0,0.0,-0.07161592033953268,0.14323184067906536,0.937725825321636,1.0093417456611686,1.0,0.8978586001034944,328.2897025711437,323.96535936889296,164.58495899662347,54.63258828835201,5.463258828835201,0.0,0.0,0.0,43.45709456978939,0.0,0.0,0.0,0.0,0.0,0.0,182.1668475026051,81.3493049428065,30.28277999412644,47.789236730201246,182.1668475026051,0.0,91.08342375130255,91.08342375130255,0.0,0,True,2.936389150844916,1960.6735638945659,4526.457246360454,2552.017395494312,6.062678047982447,3423.9165762486978
5,0.3,112.51756097815984,6.137077548357399,17.39183388515597,3.492303739332797,3.7422441299283533,8.982521350832997,1.6902583682326484,153.9538,1.164153218269348e-16,26.91472313242036,912.9296830337673,25.279244177073004,325.6954827271291,435.71366317174886,22.1851068363846,2958.0142448512793,443.7021367276919,2514.312108123587,2011.44968649887,377.1468162185381,125.71560540617928,0.0,900.3410336202512,2981.134672741665,0.9945310842977991,1.1769015492908956,905.2919992500265,2997.5279001425397,1.961914761748788,6.496129691762901,0.49486576492694306,900.3410336202512,-219.5450000758692,-27.75094519046618,125.7156054061795,0.0,0.0,0.0,-0.09476857652073173,0.18953715304146346,0.9177126497996753,1.012481226320407,1.0,0.8588619639672901,408.2618109473955,403.32191705508103,207.15852101399724,58.4357335525905,5.843573355259049,0.0,0.0,0.0,67.36039433871036,0.0,0.0,0.0,0.0,0.0,0.0,227.09852791996582,101.34595503129083,37.9003995376675,60.10122816054136,227.09852791996582,0.0,113.54926395998291,113.54926395998291,0.0,0,True,3.113481906436037,2423.075594118512,4415.413615285047,2733.3410336202514,5.956167632602991,3401.450736040017
6,0.35,102.85619549877315,6.54788357295066,20.808509969956525,4.888445389960511,5.367815769145673,11.057448443618318,2.4275013555951817,153.9538,2.328306436538696e-16,33.19021972905304,1097.4040657139813,30.387384541937717,386.314214574975,523.3850245956638,26.61449518070305,3548.599357427073,532.2899036140609,3016.3094538130117,2413.0475630504097,452.4464180719517,150.8154726906505,0.0,1079.4747463133192,4179.854805964651,0.9936303397085435,1.2122209942816173,1086.394711568445,4206.649735746501,2.1564111245993023,8.349880748554217,0.5435461580520804,1079.4747463133192,-250.111943574299,-31.594963707376678,150.81547269065038,0.0,0.0,0.0,-0.11904910566821791,0.23809821133643583,0.8973371876388614,1.0163862933070793,1.0,0.8136758757787848,490.47407273623253,484.99696744991974,251.25560754946648,62.23887881682898,6.2238878816828995,0.0,0.0,0.0,96.62068384462212,0.0,0.0,0.0,0.0,0.0,0.0,272.0929902371357,121.93302552782889,45.74527279325053,72.81972820867952,272.0929902371357,0.0,136.04649511856786,136.04649511856786,0.0,0,True,3.237539083024533,2863.5768904262986,4313.4404238975985,2912.474746313319,5.818100853692087,3378.953504881432
7,0.39999999999999997,92.65996681820467,6.958689597543922,24.253721692251794,6.451266215981209,7.288507868471949,13.040888225421805,3.3007595821246447,153.9538,1.7462298274040223e-16,39.8131343180846,1286.5784464858216,35.625668993031695,448.72294319151894,615.3570767515664,31.252989393094172,4167.065252412556,625.0597878618835,3542.0054645506734,2833.6043716405393,531.300819682601,177.10027322753353,0.0,1254.4883359511407,5601.537334154378,0.9927416700329841,1.2492078259701216,1263.6604001013275,5642.492405872583,2.2962307919367455,10.253122440645408,0.5800144735179703,1254.4883359511407,-270.1826996077772,-34.102411167916074,177.10027322753376,0.0,0.0,0.0,-0.14446884186888248,0.28893768373776496,0.8768793628570908,1.0213482047259732,1.0,0.7623003355379785,574.7202810042145,568.8021241266523,296.7623340517017,66.04202408106748,6.6042024081067465,0.0,0.0,0.0,131.19314163249507,0.0,0.0,0.0,0.0,0.0,0.0,316.8764195072162,143.05604135495466,53.799381925595654,85.91858505874968,316.8764195072162,0.0,158.4382097536081,158.4382097536081,0.0,0,True,3.317986017913781,3277.015397830656,4222.309163814123,3087.4883359511405,5.651376408678442,3356.561790246392
8,0.44999999999999996,81.9724851781537,7.369495622137184,27.750575916714197,8.137981469436857,9.501172844232824,14.912481405050553,4.3096075642746685,153.9538,1.7462298274040223e-16,46.75514006269822,1480.3404618960483,40.99098615910278,512.8903941787903,711.6298196394567,36.100589473557974,4813.41192980773,722.0117894711595,4091.400140336571,3273.120112269257,613.7100210504856,204.57000701682836,0.0,1423.872909188473,7249.471736709026,0.9918674865772071,1.2878620443564084,1435.547518652975,7308.911558060963,2.3870538714930265,12.153387752319384,0.6056229689611701,1423.872909188473,-278.4310453926019,-35.09835622465965,204.57000701682762,0.0,0.0,0.0,-0.17106129169622092,0.34212258339244184,0.8567648508422907,1.0278261425385116,1.0,0.7047353432448711,660.9426598339091,654.6997304873498,343.6481189806601,69.845169345306,6.984516934530599,0.0,0.0,0.0,171.02111119619082,0.0,0.0,0.0,0.0,0.0,0.0,361.25290215873565,164.69807157478922,62.05936850646269,99.39710585282415,361.25290215873565,0.0,180.62645107936783,180.62645107936783,0.0,0,True,3.3533551642791832,3659.0187565221395,4143.441490333685,3256.872909188473,5.459989467227121,3334.373548920632
9,0.49999999999999994,70.83882836714407,7.780301646730441,31.32338642391365,9.900966888053754,12.002800491427921,16.65371012150323,5.453806061226917,153.9538,2.328306436538696e-16,53.98695688762207,1678.659544177869,46.4824896112802,578.8053190927841,812.2032532593346,41.15729542209445,5487.639389612594,823.145908441889,4664.493481170705,3731.5947849365643,699.6740221756057,233.22467405853507,0.0,1586.3030568098416,9125.753662987228,0.9910098168809196,1.328183649440478,1600.693585258856,9208.54012497011,2.434771453103618,14.00685979347552,0.6217119953151753,1586.3030568098416,-273.6238004633769,-34.42205457435222,233.22467405853547,0.0,0.0,0.0,-0.19891759519403163,0.39783519038806325,0.837668501591341,1.0365860967853726,1.0,0.6409808988994626,749.1210390446607,742.687686534797,391.8971874541433,73.64831460954443,7.364831460954445,0.0,0.0,0.0,216.05040884570258,0.0,0.0,0.0,0.0,0.0,0.0,405.0579931708428,186.8508185984112,70.52530296898307,113.25981702909628,405.0579931708428,0.0,202.5289965854214,202.5289965854214,0.0,0,True,3.3423924517794066,4005.626246313591,4078.092854099549,3419.3030568098416,5.24819102912977,3312.4710034145787
